event_id,date,event_name,category,description
1,1990-08-02,Iraq Invades Kuwait,Geopolitical Conflict,"Iraq's invasion of Kuwait removed a major OPEC producer from the market and raised fears of wider Middle East supply disruption. Brent jumped from roughly $17 to over $40/bbl within weeks."
2,1991-01-17,Gulf War / Operation Desert Storm Begins,Geopolitical Conflict,"The US-led coalition's military response to the Kuwait invasion quickly restored confidence that supply would be protected. Prices fell sharply from their pre-war spike, crashing back below $20/bbl within weeks."
3,1997-07-02,Asian Financial Crisis Begins,Economic Shock,"The collapse of the Thai baht triggered a broader Asian financial crisis that sharply reduced regional oil demand, contributing to a multi-year price slide into 1998-99."
4,1999-03-01,OPEC Production Cut Agreement,OPEC Policy,"OPEC and non-OPEC producers agreed to significant coordinated production cuts, helping prices recover from the post-Asian-crisis lows of under $10/bbl in late 1998."
5,2001-09-11,September 11 Terrorist Attacks,Geopolitical Event,"The attacks triggered a sharp but short-lived price shock amid fears of broader instability and a subsequent global economic slowdown that weighed on oil demand."
6,2003-03-20,US Invasion of Iraq Begins,Geopolitical Conflict,"The onset of the Iraq War raised fears of extended Middle East supply disruption, contributing to sustained upward pressure on oil prices through the mid-2000s."
7,2008-07-11,Brent Reaches Record Peak (~$147/bbl),Market Extreme,"Brent crude hit an all-time nominal high amid strong emerging-market demand (especially China), a weak US dollar, and limited spare capacity, before collapsing months later."
8,2008-09-15,Global Financial Crisis (Lehman Brothers Collapse),Economic Shock,"The collapse of Lehman Brothers intensified the global financial crisis, collapsing demand expectations. Brent fell from ~$147 to under $40/bbl within six months, a decline of more than 70%."
9,2011-02-15,Arab Spring / Libyan Civil War Onset,Geopolitical Conflict,"Widespread unrest across the Middle East and North Africa, including the outbreak of civil war in Libya, disrupted regional production and pushed Brent above $100/bbl."
10,2014-06-01,Start of 2014-2016 Oil Price Collapse,OPEC Policy,"With US shale output surging and global growth slowing, OPEC (led by Saudi Arabia) chose to defend market share rather than cut production. Brent fell from ~$115 in June 2014 to under $30 by early 2016."
11,2016-11-30,OPEC+ Vienna Agreement,OPEC Policy,"OPEC and major non-OPEC producers (notably Russia) agreed to their first coordinated production cuts since 2008, forming the 'OPEC+' framework and helping stabilize prices after the 2014-16 crash."
12,2018-05-08,US Withdraws from Iran Nuclear Deal,Geopolitical Event / Sanctions,"The US reimposed sanctions on Iranian oil exports, tightening global supply expectations and contributing to price gains through much of 2018."
13,2020-03-08,Saudi-Russia Oil Price War Begins,OPEC Policy,"Saudi Arabia and Russia failed to agree on COVID-19-related production cuts, triggering a price war with unexpected output increases just as demand was collapsing."
14,2020-04-20,WTI Futures Turn Negative / COVID-19 Demand Collapse,Economic Shock,"Global lockdowns caused an unprecedented collapse in oil demand and a storage capacity crisis. US WTI futures briefly traded negative for the first time in history; Brent fell to around $20/bbl."
15,2022-02-24,Russia Invades Ukraine,Geopolitical Conflict,"Russia's invasion triggered the largest sustained Brent rally since 2008 amid fears of Russian supply being cut off from global markets. Brent surged from ~$94 to briefly above $130/bbl."
